6	11	26	45	36	24	7	34	48	29	17	25	35	7	24	13	41	33	15	4	3	15	17	9	16	33	20	48	16	7	0	4	22	19	35	33	21	7	11	33	27	19	12	47	31	40	23	7	29	4	1	27	24	12	48	22	2	29	15	31	48	19	39	14	44	38	43	18	39	32	35	41	46	4	15	36	0	39	44	45	24	0	6	27	23	21	1	1	46	46	12	30	34	23	19	24	0	35	14	37		|	35	19	24	42	17	36	39	7	30	32	8	18	49	26	28	26	4	10	35	26	14	9	43	2	0	35	38	19	12	4	24	31	36	33	5	10	22	13	31	9	32	14	46	12	17	33	36	23	46	14	12	3	30	47	2	5	37	26	20	7	15	24	10	39	20	22	28	42	25	16	1	7	9	11	37	35	44	27	27	31	22	23	2	43	38	9	48	30	45	18	32	8	33	14	15	31	10	46	25	30	
37	38	25	29	6	49	32	45	8	13	5	35	41	15	16	0	4	47	42	1	3	45	47	4	47	14	3	36	2	41	21	22	41	33	6	49	34	42	18	12	41	42	4	45	2	40	38	40	15	4	1	15	17	5	15	28	41	28	29	31	27	9	17	5	41	43	1	33	5	36	1	17	9	23	47	2	22	41	46	16	12	5	49	27	30	32	34	24	16	35	18	38	33	49	35	31	44	34	26	22		|	31	29	40	42	34	31	11	49	28	30	33	44	47	24	32	9	20	36	45	42	26	21	2	4	47	3	11	28	11	19	6	26	25	37	25	15	12	18	40	8	20	40	48	0	49	48	17	7	11	33	9	1	18	18	27	36	34	11	31	41	28	43	6	49	16	45	0	13	2	41	45	48	38	1	13	1	12	15	11	37	16	42	18	41	10	20	2	20	9	21	40	46	16	4	32	36	39	45	24	44	
21	26	13	32	17	25	0	1	17	39	27	45	43	11	36	34	28	6	22	33	5	49	9	29	3	30	26	8	10	17	40	31	25	43	10	46	43	23	15	0	14	29	1	41	34	14	19	3	8	36	45	4	5	11	16	8	19	44	3	46	38	1	16	24	23	48	24	47	39	33	17	35	12	30	25	33	24	32	16	30	13	19	32	21	6	2	35	24	28	40	36	19	29	39	2	13	32	7	12	18		|	49	19	5	44	23	14	6	25	28	5	10	27	49	30	37	9	19	30	1	45	35	47	7	33	18	34	13	19	34	39	47	18	18	45	43	41	41	44	14	35	40	15	31	13	45	4	24	39	39	17	20	9	36	40	43	48	41	22	27	36	2	8	47	5	6	9	29	13	12	31	4	17	19	30	7	24	4	11	19	42	9	3	8	5	44	9	38	23	43	5	0	8	20	25	24	39	8	11	42	6	
24	20	3	39	37	48	34	2	48	16	0	42	46	44	24	33	3	19	22	40	23	41	47	49	18	41	5	20	49	21	1	6	7	18	9	43	17	43	1	15	22	37	23	14	20	47	45	1	27	7	17	47	10	14	5	39	0	12	27	9	30	42	8	12	11	4	23	46	26	7	19	40	41	40	20	13	28	32	17	2	37	6	31	28	39	3	4	45	8	47	45	14	24	16	21	20	6	22	49	18		|	49	1	2	49	43	34	1	49	46	19	46	26	7	33	8	36	35	24	4	30	40	34	31	31	0	19	36	30	48	21	48	7	44	47	21	42	48	4	20	15	9	16	43	11	24	5	44	28	27	25	17	6	28	47	21	47	1	19	6	30	9	4	39	40	6	33	44	36	10	20	2	49	15	15	33	20	4	23	13	43	42	2	20	35	44	25	4	31	8	4	44	41	6	2	0	36	20	1	37	7	
27	21	15	38	29	39	20	5	3	33	33	23	1	29	28	49	6	41	29	44	40	27	24	39	7	40	33	8	29	15	39	32	1	6	28	27	34	22	24	8	9	18	11	5	27	49	41	34	12	45	15	15	22	26	36	8	41	23	31	16	21	44	24	37	0	40	46	3	45	0	24	41	27	33	39	34	17	30	44	37	22	30	16	40	9	9	45	33	26	39	33	40	6	26	21	44	23	34	35	49		|	32	13	24	5	15	6	28	6	23	26	5	22	16	37	28	23	33	14	42	14	43	5	3	48	39	13	4	23	7	41	41	5	39	11	10	31	2	28	31	28	44	23	6	7	19	35	43	45	27	35	7	47	10	38	2	11	10	37	23	46	10	9	15	6	1	19	1	20	49	27	6	7	32	19	36	11	23	27	48	9	45	15	0	23	10	32	10	25	7	0	3	44	11	21	8	38	41	15	29	12	
2	16	31	17	4	42	3	8	49	38	25	28	24	14	39	8	38	39	7	9	40	45	37	14	48	18	22	12	49	45	12	32	44	17	41	29	24	17	10	9	49	34	46	17	38	46	33	32	34	24	11	5	17	0	5	26	25	29	14	3	23	27	14	25	12	0	19	36	27	12	25	0	30	26	15	8	46	35	7	20	18	17	9	40	21	47	25	49	49	29	23	5	14	25	45	27	2	2	29	18		|	36	23	20	45	10	23	13	44	33	37	45	8	2	33	44	9	16	22	32	10	46	2	41	15	37	21	35	16	16	9	28	26	6	46	42	14	0	14	24	6	36	35	7	30	32	49	21	6	24	35	0	6	49	31	8	26	11	49	21	46	22	25	33	47	1	49	47	11	49	28	27	26	32	11	27	20	42	39	33	28	40	15	24	41	12	39	7	37	38	36	47	23	26	49	16	27	29	17	42	33	
1	13	24	15	30	17	30	45	18	32	30	38	46	47	16	35	7	21	15	40	1	2	19	46	47	40	1	49	25	48	18	29	16	22	19	44	9	47	27	45	11	15	13	39	29	3	38	12	46	14	34	14	2	5	30	16	42	42	43	42	16	24	29	29	10	29	44	27	48	43	42	14	36	3	36	3	41	43	17	25	23	10	5	0	22	18	44	27	17	37	7	9	30	39	7	2	9	32	24	21		|	28	47	40	33	21	13	28	33	9	41	49	32	46	12	3	28	15	33	5	1	5	22	23	49	21	49	34	7	4	41	5	19	16	19	23	32	9	20	38	8	45	36	9	39	25	34	24	27	32	47	27	6	43	3	0	18	14	17	45	19	38	22	17	7	49	8	45	29	35	41	22	16	12	20	32	33	14	32	46	0	20	40	46	42	27	28	15	0	40	43	37	26	7	44	34	20	44	20	11	33	
29	6	47	28	17	30	32	18	2	42	48	7	12	20	28	34	40	16	8	28	20	46	14	26	47	39	37	11	24	23	7	18	30	24	17	3	33	46	43	16	3	44	21	31	31	21	40	38	28	37	1	49	0	9	18	14	32	2	25	18	13	6	26	24	28	18	4	41	41	30	3	0	10	29	17	49	38	2	48	47	7	44	23	42	19	41	32	48	39	12	9	44	40	29	14	24	19	15	24	3		|	40	27	9	0	29	5	33	32	6	17	2	13	34	37	11	28	25	7	38	18	14	41	25	38	25	12	39	10	43	0	19	34	47	8	14	44	45	43	13	6	12	31	14	34	47	3	25	47	1	3	10	0	24	30	29	36	24	29	44	20	29	23	47	28	45	21	46	19	0	8	23	29	33	46	17	26	45	15	20	9	9	24	12	46	5	8	34	45	30	38	12	47	19	35	15	8	35	37	9	21	
19	0	11	49	0	38	20	37	36	29	43	19	38	12	24	25	32	26	19	4	19	15	17	13	8	5	28	9	36	1	24	10	43	16	39	19	36	46	37	34	2	20	48	34	19	47	35	34	1	29	1	32	37	20	49	38	8	26	31	1	23	33	47	23	0	18	33	27	39	26	27	40	45	25	9	35	49	32	44	29	30	10	36	41	15	20	3	33	28	13	10	33	30	30	8	34	5	30	31	7		|	24	44	42	27	29	31	31	23	21	3	6	14	11	30	46	1	10	45	13	18	32	18	45	32	42	14	2	21	25	46	31	10	11	4	38	29	39	3	35	4	28	42	20	47	0	31	2	12	45	9	38	23	7	12	16	21	33	44	44	30	24	8	37	37	29	6	8	10	35	28	1	25	19	19	0	12	43	28	47	33	31	44	0	30	13	6	12	46	11	12	14	47	4	35	12	13	16	38	18	26	
32	41	43	7	3	20	6	6	42	6	35	14	47	14	11	18	44	9	44	11	7	6	30	24	38	1	32	44	31	42	3	24	22	48	28	40	5	27	9	44	13	35	32	37	48	36	24	15	14	30	7	28	9	9	3	43	13	39	36	31	16	21	40	14	11	14	29	49	28	26	9	10	30	34	7	3	30	42	4	15	20	41	8	40	9	15	27	1	27	0	23	19	17	33	22	47	16	28	26	3		|	27	2	30	19	9	25	31	43	14	36	25	31	48	7	31	27	24	30	45	45	26	1	31	36	47	42	44	43	11	30	2	22	10	27	29	30	31	9	4	18	6	36	3	9	49	23	12	11	45	38	3	40	14	49	10	37	32	45	11	36	45	33	18	35	12	43	40	34	6	42	3	33	19	34	31	15	29	12	29	39	1	1	21	17	32	42	13	25	30	33	45	35	9	31	32	35	35	14	5	13	
