30	19
19	6
47	37
46	17
7	17
46	45
3	19
8	2
39	8
7	38
7	5
16	22
48	40
31	22
48	43
14	44
42	45
42	41
16	29
31	7
48	13
21	46
1	31
36	27
20	7
7	43
19	36
29	20
4	31
15	28
48	22
4	7
16	11
18	34
0	45
0	3
33	14
4	32
13	22
19	28
25	15
34	25
12	41
44	39
38	46
35	31
26	27
16	36
48	15
21	6
23	49
25	13
33	19
0	16
28	47
47	46
31	29
40	22
12	42
3	20
6	27
39	30
16	1
2	13
14	34
9	41
16	3
1	19
26	39
23	25
2	37
8	35
13	46
49	22
40	11
19	24
32	16
30	47
28	42
49	35
20	44
0	36
23	23
46	33
17	15
35	12
46	26
44	29
45	17
4	44
45	8
16	38
2	5
5	11
21	23
28	35
2	35
4	40
14	49
24	31
39	20
16	23
27	25
5	10
21	43
8	32
32	11
37	4
4	25
32	17
40	37
9	7
46	40
48	45
8	34
49	46
36	36
45	9
42	34
37	11
2	9
16	12
9	39
42	18
46	5
21	5
36	32
42	45
46	26
31	18
12	34
46	25
0	30
15	7
12	7
49	23
27	35
24	6
9	44
35	14
34	1
20	0
25	6
48	29
40	25
27	12
21	25
30	10
31	19
9	19
40	2
3	47
4	6
32	17
24	38
19	31
48	47
39	27
10	26
28	33
44	33
28	24
24	17
15	25
5	18
3	44
27	33
19	37
6	21
37	20
43	25
40	42
32	2
32	32
4	23
22	34
49	21
28	18
25	4
32	26
6	8
3	29
24	15
26	3
8	44
48	10
20	40
9	28
8	48
40	44
14	25
44	35
11	33
41	23
18	49
17	29
24	39
25	8
40	4
19	37
24	46
33	27
4	35
49	11
32	13
28	26
12	29
26	37
27	49
25	14
46	20
24	43
26	14
23	10
15	26
2	20
31	7
4	20
22	7
36	35
6	5
6	26
44	37
17	38
41	30
29	5
35	43
48	8
19	45
37	16
14	19
49	24
1	23
4	4
45	49
10	6
34	11
40	13
3	46
12	16
28	14
48	27
19	14
32	31
9	44
40	30
1	35
47	29
13	3
8	41
16	26
23	22
1	23
33	6
48	6
21	43
20	16
0	23
15	37
18	46
37	43
43	33
49	29
12	8
31	28
16	24
20	27
16	26
19	26
12	15
32	6
16	44
5	20
11	19
9	9
46	25
13	40
38	32
4	11
28	37
0	24
13	34
4	38
36	35
9	39
24	41
44	7
42	26
21	21
32	24
2	37
49	24
38	18
31	23
35	7
10	28
18	42
12	39
3	6
17	43
13	43
37	9
36	9
33	4
18	16
2	47
23	39
31	23
24	21
3	35
33	9
47	21
27	49
21	36
42	13
13	22
24	17
25	3
22	18
37	42
22	39
40	4
43	4
2	0
26	10
19	25
37	23
23	27
19	34
3	18
25	25
41	20
40	37
15	32
31	43
21	2
13	5
42	16
16	13
45	47
42	6
38	22
19	14
0	39
26	12
36	38
25	40
31	9
13	44
48	13
48	36
18	6
47	27
16	26
